Layer,Name,GEOID,Population,CZA_2023,CZB_2023,CZD_2023,CZH_2023,CZL_2023,CZM_2023,CZO_2023,CZP_2023,CZR_2023,CZS_2023,CZT_2023,CZU_2012-2016,CZV_2023,SVI_2022,CAR_2018-2022,CHAOVXP_2018-2022,EKR_2022,EKW_2022,EVC_2018,EVF_2018,EVR_2018,HTJ_2018-2022,HUO_2018-2022,RBS_2018-2022,RBU_2018-2022,TRF_2020,TRV_2018-2022,VAC_2018-2022,CHAIXYP_2023,PMC_2020,FAI_2022,LFA_2019,WWW_2018-2022
,,,,"Aggravated assault/battery (crimes), 2023","Burglary (crimes), 2023","Drug abuse (crimes), 2023","Homicide (crimes), 2023","Larceny (theft) (crimes), 2023","Major crime (crimes), 2023","Arson (crimes), 2023","Property crime (crimes), 2023","Robbery (crimes), 2023","Criminal sexual assault (crimes), 2023","Motor vehicle theft (crimes), 2023","Public crime (crimes), 2012-2016","Violent crime (crimes), 2023","Social Vulnerability Index (percentile), 2022","Drive alone to work (% of workers 16 years and older), 2018-2022","Households (count of households), 2018-2022","Proximity to roads, railways, and airports index, 2022","Walkability Index, 2022","Evictions (evictions), 2018","Eviction filing rate (filings per 100 renter-occupied households), 2018","Eviction rate (% of renter-occupied households), 2018","Crowded housing (% of occupied housing units), 2018-2022","Owner occupied (% of occupied housing units), 2018-2022","Severely rent-burdened (% of renter-occupied housing units), 2018-2022","Rent-burdened (% of renter-occupied housing units), 2018-2022","Traffic intensity (distance-weighted vehicles), 2020","Mean travel time to work (minutes), 2018-2022","Vacant (% of housing units), 2018-2022","Chicago Environmental Justice Index (score), 2023","Particulate matter (PM 2.5) concentration (µg/m3), 2020","Food insecurity (% of residents), 2022","Low food access (% of residents), 2019","Internet access (% of households), 2018-2022"
Census tract,Tract 5103,17031510300,4850,70.0,29.0,8.0,4.0,127.0,412.0,3.0,279.0,56.0,3.0,120.0,230.0,133.0,69.19999999999999,47.738386308068456,1908.0,77.00035344376188,14.5,8.0,2.41,0.8,0.0,46.12159329140461,56.22568093385214,82.29571984435798,88.19631415556702,45.8,11.048951048951048,78.89,9.513296721,26.0,44.64,84.80083857442348
Census tract,Tract 5201,17031520100,1745,21.0,3.0,3.0,1.0,40.0,90.0,0.0,59.0,7.0,2.0,16.0,11.90614362,31.0,90.9,60.89466089466089,497.0,78.0,16.0,0.0,1.88,0.0,11.468812877263582,54.929577464788736,21.875,32.589285714285715,225.8099655,44.4,21.608832807570977,64.6,9.385202459016392,16.400000000000002,67.95,89.53722334004024
Census tract,Tract 5202,17031520200,3338,29.0,9.0,3.0,1.0,35.0,104.0,1.0,68.0,5.0,1.0,23.0,62.0,36.0,90.52,72.26428079834825,1198.0,78.0,11.39,9.0,2.7,1.35,10.35058430717863,41.98664440734557,27.769784172661872,43.884892086330936,183.580788204314,32.7,10.06006006006006,73.45,9.440377322,22.8,50.91,94.82470784641067
Census tract,Tract 5203,17031520300,5675,18.0,7.0,6.0,1.0,75.0,148.0,0.0,120.0,5.0,4.0,38.0,71.0,28.0,73.26,70.620239390642,1991.0,75.0,13.38,2.0,2.57,0.37,3.766951280763436,65.59517830236062,25.4014598540146,53.28467153284672,134.19216289303964,39.1,7.610208816705337,65.74,9.472822678,15.1,0.0,90.00502260170768
Census tract,Tract 5204,17031520400,4055,26.0,7.0,1.0,1.0,68.0,140.0,0.0,100.0,11.0,2.0,25.0,15.09385638,40.0,81.84,64.31974589730017,1452.0,77.99999999999999,14.714456139583481,2.0,1.1131084892450165,0.4481833504412241,2.272727272727273,76.37741046831957,23.03206997084548,39.94169096209912,208.33327119405675,35.2,4.724409448818897,53.22,9.443240437158472,15.0,0.2347245617809458,88.84297520661157
Census tract,Tract 5205,17031520500,4420,9.0,5.0,1.0,0.0,38.0,81.0,0.0,72.0,0.0,0.0,29.0,11.0,9.0,60.25,63.95256916996047,1512.0,78.0,13.17,0.0,1.14,0.0,6.415343915343915,86.37566137566137,0.0,34.95145631067961,59.66711989777375,36.0,2.3886378308586185,35.27,9.477296448087428,8.200000000000001,19.74,90.93915343915344
Census tract,Tract 5206,17031520600,2530,5.0,2.0,1.0,1.0,16.0,34.0,0.0,26.0,2.0,0.0,8.0,16.0,8.0,35.89,80.2919708029197,771.0,65.0,14.83,0.0,0.55,0.0,0.0,86.12191958495461,9.345794392523365,9.345794392523365,127.7322499,32.1,5.975609756097561,40.46,9.51709235,8.4,58.68999999999999,94.03372243839168
Census tract,Tract 5301,17031530100,2197,29.0,4.0,6.0,1.0,41.0,123.0,1.0,82.0,7.0,4.0,36.0,103.0,41.0,96.03,68.61702127659575,821.0,71.0,15.08,5.0,3.47,1.24,0.0,32.27771010962241,16.007194244604317,50.71942446043165,33.181567353299954,30.3,20.05842259006816,90.01,9.687077595628407,23.8,100.0,70.88915956151035
Census tract,Tract 5302,17031530200,4128,53.0,15.0,17.0,4.0,84.0,249.0,5.0,165.0,24.0,3.0,61.0,274.0,84.0,86.61999999999999,64.66666666666666,1454.0,37.0,13.73,17.0,6.95,2.57,2.6822558459422283,51.92572214580468,51.931330472103,59.37052932761088,54.47328934481104,34.5,27.33633183408296,72.31,9.704525137,25.3,26.87,78.1292984869326
Census tract,Tract 5303,17031530300,3964,39.0,12.0,12.0,0.0,126.0,275.0,0.0,221.0,13.0,2.0,83.0,128.0,54.0,74.82,68.79026485325697,1528.0,76.0,14.08,4.0,4.64,1.03,0.0,59.22774869109948,16.853932584269664,33.547351524879616,669.9037382336277,42.4,10.74766355140187,74.72,9.719760109,11.4,0.0,76.70157068062828
